Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2014-08-01,1.93   ,-0.58   ,-0.76   ,-0.10   ,-0.29    ,0.00
2014-09-01,-3.09   ,-2.77   ,-0.83    ,0.18   ,-0.23    ,0.00
2014-10-01,0.33   ,-0.58   ,-2.81    ,0.84   ,-0.23    ,0.00
2014-11-01,1.65   ,-2.44   ,-2.00    ,0.76   ,-0.27    ,0.00
2014-12-01,-1.44    ,1.78    ,0.04   ,-0.31    ,0.13    ,0.00
2015-01-01,-1.74   ,-0.05   ,-2.49    ,2.09   ,-0.69    ,0.00
2015-02-01,5.91   ,-0.51   ,-0.30   ,-0.99   ,-0.88    ,0.00
2015-03-01,-1.17    ,1.44   ,-0.80    ,0.05   ,-0.40    ,0.00
2015-04-01,2.71    ,0.90    ,2.27   ,-0.70   ,-0.48    ,0.00
2015-05-01,0.50    ,1.05   ,-1.12   ,-1.06   ,-0.41    ,0.00
2015-06-01,-2.09    ,2.06   ,-0.66    ,0.00   ,-0.27    ,0.00
2015-07-01,1.13   ,-3.29   ,-3.25    ,1.76   ,-0.72    ,0.00
2015-08-01,-6.18    ,1.37    ,1.27    ,0.51    ,0.84    ,0.00
2015-09-01,-3.91   ,-0.10   ,-1.02    ,1.86    ,0.53    ,0.00
2015-10-01,7.32   ,-2.36    ,0.34    ,0.82   ,-0.49    ,0.00
2015-11-01,-0.30    ,1.46   ,-1.99    ,0.55   ,-1.39    ,0.00
2015-12-01,-1.73    ,0.84   ,-1.70    ,0.76   ,-0.43    ,0.01
2016-01-01,-6.32   ,-1.75    ,0.76    ,2.73    ,2.75    ,0.01
2016-02-01,-0.50    ,0.93   ,-0.21    ,1.17    ,1.83    ,0.02
2016-03-01,6.92    ,1.34    ,0.42    ,0.66   ,-0.67    ,0.02
2016-04-01,1.91    ,1.25    ,2.98   ,-2.77    ,0.77    ,0.01
2016-05-01,0.45   ,-0.23   ,-2.11    ,0.64   ,-1.25    ,0.01
2016-06-01,-1.67   ,-0.41   ,-0.73    ,1.59    ,2.11    ,0.02
2016-07-01,4.48    ,1.38    ,0.46    ,0.02   ,-1.40    ,0.02
2016-08-01,0.29    ,0.56    ,2.19   ,-1.38   ,-0.44    ,0.02
2016-09-01,0.90    ,2.10   ,-1.23   ,-0.52    ,0.13    ,0.02
2016-10-01,-1.88   ,-1.09    ,4.09   ,-1.07    ,1.27    ,0.02
2016-11-01,1.39    ,0.61    ,4.39   ,-2.02    ,1.77    ,0.01
