Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2015-12-01,1.88   ,-0.10   ,-2.65    ,1.21    ,1.26    ,0.01
2016-01-01,-9.03   ,-0.70   ,-0.35    ,1.54    ,2.14    ,0.01
2016-02-01,0.75   ,-0.67    ,3.21   ,-1.94    ,1.41    ,0.02
2016-03-01,10.65   ,-2.25    ,1.04    ,1.62    ,1.41    ,0.02
2016-04-01,1.44    ,1.72    ,1.95    ,0.48    ,1.18    ,0.01
2016-05-01,-1.79    ,0.35   ,-2.04    ,0.52   ,-1.57    ,0.01
2016-06-01,0.44    ,0.77    ,1.03    ,0.97   ,-0.49    ,0.02
2016-07-01,5.87   ,-3.83    ,1.94    ,1.49   ,-0.16    ,0.02
2016-08-01,-0.45    ,1.32    ,1.89   ,-0.34   ,-0.64    ,0.02
2016-09-01,2.68    ,1.37    ,0.60   ,-0.39    ,0.69    ,0.02
2016-10-01,-1.45    ,1.31    ,2.81   ,-0.58    ,2.57    ,0.02
2016-11-01,-0.29   ,-1.74    ,0.94    ,0.28    ,0.36    ,0.01
2016-12-01,-1.90    ,0.82    ,1.19    ,1.13    ,0.52    ,0.03
2017-01-01,5.90   ,-1.54    ,3.33   ,-0.58    ,2.73    ,0.04
2017-02-01,2.23   ,-1.46    ,2.62   ,-0.82   ,-0.14    ,0.04
2017-03-01,2.82   ,-2.38   ,-1.06    ,1.68    ,0.48    ,0.03
