Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2009-11-01,3.00   ,-1.99   ,-1.22    ,2.94    ,0.83    ,0.00
2009-12-01,0.94   ,-1.88   ,-1.24    ,2.06   ,-0.01    ,0.01
2010-01-01,-5.28    ,4.68   ,-1.87    ,1.49   ,-0.04    ,0.00
2010-02-01,-2.10   ,-0.83   ,-1.79    ,0.75   ,-0.53    ,0.00
2010-03-01,6.41   ,-0.71    ,4.27    ,0.12   ,-0.38    ,0.01
2010-04-01,-1.66    ,3.12   ,-0.29    ,2.25   ,-0.74    ,0.01
2010-05-01,-12.05   ,-0.55   ,-3.59    ,0.68   ,-0.85    ,0.01
2010-06-01,-0.98   ,-0.07   ,-2.22   ,-1.07   ,-1.11    ,0.01
2010-07-01,11.88   ,-1.71    ,4.59   ,-2.85    ,0.97    ,0.01
2010-08-01,-4.26   ,-0.07   ,-2.69    ,2.63   ,-2.11    ,0.01
2010-09-01,11.56    ,0.92   ,-0.26   ,-0.50    ,1.55    ,0.01
2010-10-01,4.98    ,0.61    ,0.07    ,1.39   ,-0.32    ,0.01
2010-11-01,-8.03    ,1.06   ,-3.42    ,1.75    ,0.12    ,0.01
2010-12-01,9.04    ,2.12    ,1.17   ,-1.67    ,1.17    ,0.01
2011-01-01,3.68   ,-0.16    ,5.47   ,-3.00    ,1.31    ,0.01
2011-02-01,3.06   ,-1.08    ,0.70    ,0.50    ,0.06    ,0.01
2011-03-01,-0.17    ,2.12   ,-1.85    ,1.96   ,-0.35    ,0.01
2011-04-01,8.14   ,-1.08   ,-0.76    ,1.06    ,0.69    ,0.00
2011-05-01,-3.06    ,0.21   ,-2.25    ,1.86   ,-0.60    ,0.00
2011-06-01,-2.05   ,-1.20    ,0.08    ,1.05   ,-0.69    ,0.00
2011-07-01,-3.33    ,0.22   ,-4.05    ,2.24   ,-0.48    ,0.00
2011-08-01,-10.10    ,0.87   ,-3.79    ,3.52   ,-1.12    ,0.01
2011-09-01,-11.61   ,-1.13   ,-1.88    ,2.27    ,1.44    ,0.00
